author,year,covidence_id,hyperactive,hypoactive,mixed,nosubtype,combo_hypomix,combo_hypermix,factor_category,factor,factor_details,test_used,test_subscale,data_type,direction,cont_units,test_cutoff,cutoff_notes,categorical_notes,N_with_condition,N_without_condition,percentage_with_condition,N_total,N_notes,average_type,average,variance_type,variance,range_type,range_ll,range_ul
Avelino-Silva,2018,3780,1,,,,,,,age,,,,cont,,,,,,,,,112,,mean,81,SD,8,,,
Avelino-Silva,2018,3780,1,,,,,,,sex,,,,cat,,,female,,,57,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,marital status,married,,,,cat,,,,,,51,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,marital status,widowed,,,,cat,,,,,,40,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,marital status,single,,,,cat,,,,,,18,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,marital status,divorced/separated,,,,cat,,,,,,3,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,medicine,polypharmacy,,chronic use of five or more medications,,cat,,,,,,65,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,functional status,ADL,"functional status (six activities of daily living, ADLs; each activity was scored on a scale ranging from zero to two points and a final score was generated from the total sum of the items; range = 0–12, 12 = best) [29]",,,cat,,,low,0 to 4,,66,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,,depression,,,,cat,,,presence,,,15,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,,dementia,"cognitive status (Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE)","Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE",,cat,,,presence,,,71,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,,nutrition,"Nutritional status (Mini Nutritional Assessment, MNA)",Mini Nutritional Assessment,,cat,,,malnutrition,,,41,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,hypertension,,,,cat,,,presence,,,85,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,diabetes,,,,cat,,,presence,,,39,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,heart failure,,,,cat,,,presence,,,28,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,previous stroke,,,,cat,,,presence,,,24,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,coronary disease,,,,cat,,,presence,,,15,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,12,,,112,,,,,,,,
Avelino-Silva,2018,3780,1,,,,,,comorbidity,cancer,,,,cat,,,presence,,,10,,,112,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,,age,,,,cont,,,,,,,,,197,,mean,83,SD,9,,,
Avelino-Silva,2018,3780,,,1,,,,,sex,,,,cat,,,female,,,116,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,marital status,married,,,,cat,,,,,,66,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,marital status,widowed,,,,cat,,,,,,101,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,marital status,single,,,,cat,,,,,,15,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,marital status,divorced/separated,,,,cat,,,,,,15,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,medicine,polypharmacy,,chronic use of five or more medications,,cat,,,,,,109,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,functional status,ADL,"functional status (six activities of daily living, ADLs; each activity was scored on a scale ranging from zero to two points and a final score was generated from the total sum of the items; range = 0–12, 12 = best) [29]",,,cat,,,low,0 to 4,,135,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,,depression,,,,cat,,,presence,,,52,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,,dementia,"cognitive status (Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE)","Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE",,cat,,,presence,,"pooled mild, mod and severe",122,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,,nutrition,"Nutritional status (Mini Nutritional Assessment, MNA)",Mini Nutritional Assessment,,cat,,,malnutrition,,,114,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,hypertension,,,,cat,,,presence,,,141,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,diabetes,,,,cat,,,presence,,,68,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,heart failure,,,,cat,,,presence,,,59,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,previous stroke,,,,cat,,,presence,,,46,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,coronary disease,,,,cat,,,presence,,,32,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,chronic obstructive pulmonary disease,,,,cat,,,presence,,,20,,,197,,,,,,,,
Avelino-Silva,2018,3780,,,1,,,,comorbidity,cancer,,,,cat,,,presence,,,23,,,197,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,,age,,,,cont,,,,,,,,,348,,mean,83,SD,9,,,
Avelino-Silva,2018,3780,,1,,,,,,sex,,,,cat,,,female,,,236,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,marital status,married,,,,cat,,,,,,109,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,marital status,widowed,,,,cat,,,,,,194,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,marital status,single,,,,cat,,,,,,29,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,marital status,divorced/separated,,,,cat,,,,,,16,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,medicine,polypharmacy,,chronic use of five or more medications,,cat,,,,,,210,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,functional status,ADL,"functional status (six activities of daily living, ADLs; each activity was scored on a scale ranging from zero to two points and a final score was generated from the total sum of the items; range = 0–12, 12 = best) [29]",,,cat,,,low,0 to 4,,245,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,,depression,,,,cat,,,presence,,,82,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,,dementia,"cognitive status (Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE)","Clinical Dementia Rating, CDR; Short Form of the Informant Questionnaire on Cognitive Decline in the Elderly, Short IQCODE",,cat,,,presence,,,246,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,,nutrition,,Mini Nutritional Assessment,,cat,,,malnutrition,,,222,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,hypertension,,,,cat,,,presence,,,248,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,diabetes,,,,cat,,,presence,,,112,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,heart failure,,,,cat,,,presence,,,86,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,previous stroke,,,,cat,,,presence,,,93,,,348,,,,,,,,
Avelino-Silva,2018,3780,,1,,,,,comorbidity,coronary disease,,,,cat,,,presence,,,61,,,348,,,,,,,,
