author,year,covidence_id,title,country,study_setting,recruitment_time_period,study_design,age_cutoff,delirium_type,condition_location,delirium_tool,subtype_class,sample_size_total,sample_delirium,sample_no_delirium,N_hyper,N_hypo,N_mix,N_nosub,N_combo,mixsample_group,subtype_count,sex_data_type,male,female,sex_N,sex_notes,age_average_data_type,age_average,age_variance_type,age_variance,age_range_type,age_range_ll,age_range_ul,age_N,age_notes,age_g1,age_g1_N,age_g2,age_g2_N2,age_average_data_type_g2,age_average_g2,age_variance_type_g2,age_variance_g2,age_range_type_g2,age_range_ll_g2,age_range_ul_g2,age_g3,age_g3_N2,age_average_data_type_g3,age_average_g3,age_variance_type_g3,age_variance_g3,age_range_type_g3,age_range_ll_g3,age_range_ul_g3,age_g4,age_g4_N2,age_average_data_type_g4,age_average_g4,age_variance_type_g4,age_variance_g4,age_range_type_g4,age_range_ll_g4,age_range_ul_g4,age_g5,age_g5_N2,age_average_data_type_g5,age_average_g5,age_variance_type_g5,age_variance_g5,age_range_type_g5,age_range_ll_g5,age_range_ul_g5
Avelino-Silva,2018,3780,Prognostic effects of delirium motor subtypes in hospitalized older adults: A prospective cohort study,Brazil,Geriatric ward of university hospital,January 2009 - June 2015,prospective cohort,60+,prevalent,Geriatric ward admission/stay,Short CAM,Observation of clinical features,1409,657,752,112,348,197,,,,,percentage,,62,657,total del sample,mean,83,SD,8,,,,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balan,2003,3742,"The relation between the clinical subtypes of delirium and the urinary level of 6-SMT
",Israel,three medical wards ofthe Shmuel Harofe Geriatric Hospital in Israel,,prospective cohort,range 72+,incident,Medical ward stay,International Classification of Diseases (ICD-10),Symptoms,,31,,7,10,14,,,,,N,13,18,31,total del sample,mean,83.5,SD,7.1,range,72,94,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiely,2007,2149,"Association between psychomotor activity delirium subtypes and mortality among newly admitted postacute facility patients
",United States,eight greater-Boston skilled nursing facilities specializing in postacute care,"October 1, 2000 and December 31, 2003",prospective cohort,65+,prevalent,Admission to post-acute care,CAM,MDAS,,457,,47,212,55,143,,,,percentage,,64.5,457,total del sample,mean,84,SD,7.3,,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco,2014,2835,MMSE items that predict incident delirium and hypoactive subtype in older medical inpatients,Colombia,"one of three Internal Medicine wards in the Clinica Universitaria Bolivariana (Medellín, Colombia).",,case-control,60+,incident,Internal medicine ward stay,"CAM-S (Spanish), DRS-R98",DRS-R98,291,34,257,10,13,11,,,,,N,13,,34,total del sample,mean,78.3,SD,8.96,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawle,2020,1495,Atypical presentations of COVID-19 in care home residents presenting to secondary care: A UK single centre study,United Kingdom,Barnet Hospital,March 10 2020 - April 8 2020,retrospective cohort,80+,prevalent,Admission to hospital with COVID-19 diagnosis,Review medical records,Symptoms,134,56,,43,13,,,,,,N,73,,134,total sample only (del + no del),median,86,IQR,7.6,,,,134,"IQR should be range, this will need to be checked with authors and also age only reported for total sample (del/no del)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boettger,2011c,3626,Phenomenology of the subtypes of delirium: phenomenological differences between hyperactive and hypoactive delirium,United States,Memorial Sloan-Kettering Cancer Center (MSKCC),July - November 2000,retrospective cohort,all,prevalent,Inpatients receiving cancer care,"DSM-IV, MDAS",MDAS,,100,,,53,,,47,hyper/mix,,percentage,51.5,48.5,100,total del sample,mean,58.36,SD,16.65,range,19,89,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boettger,2011a,3627,An open trial of aripiprazole for the treatment of delirium in hospitalized cancer patients,United States,Memorial SloanKettering Cancer Center (MSKCC),July 2004 to June 2006,retrospective cohort,all,prevalent,Hospitalised cancer patients,"DSM IV, MDAS",Not mentioned,,21,,12,9,,,,,,N,10,11,21,total del sample,mean,69.6,SD,11.9,range,36,85,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boettger,2014,3621,Delirium management in patients with cancer: Dosing of antipsychotics in the delirium subtypes and response to psychopharmacological management,United States,Memorial Sloan Kettering Cancer Center (MSKCC),July to November 2000 and from July 2004 to June 2006 ,retrospective cohort,all,prevalent,Patients undergoing cancer treatment referred for delirium management,"DSM-IV-TR criteria,  MDAS",Not mentioned,,111,,62,49,,,,,,N,65,,111,total del sample (pooled hyper and hypo),mean,64.9,SD,12.6,range,29,89,,,hypoactive,49,hyperactive,62,mean,66.1,SD,14.5,range,23,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boettger,2017,3619,Pipamperone and delirium: A preliminary evaluation of its effectiveness in the management of delirium and its subtypes,Switzerland,University Hospital Zurich,,retrospective cohort,all,prevalent,Medical and surgical referral patients,DOS and S-CAM (short CAM),DOS,,91,,11,38,42,,,,,N,63,,91,total pipamperone/del sample (pooled subtypes),mean,76,SD,9.8,range,39.1,90.6,,,hypoactive,38,hyperactive,11,mean,71.1,SD,11.8,range,41.7,85.3,mixed,42,mean,73.9,SD,11,range,50.2,95.1,,,,,,,,,,,,,,,,,,
Boettger,2011b,3623,The phenomenology of delirium and its motoric subtypes in patients with cancer,United States,Memorial Sloan Kettering Cancer Center (MSKCC) Psychiatry Service,July 2004 - June 2006,retrospective cohort,all,prevalent,Cancer patients referred for delirium management,"DSM-IV-TR, MDAS",MDAS,,111,,61,50,,,,,,percentage,58.6,,111,total del sample?,mean,65.6,SD,13.6,range,23,89,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
